car_dealership,price,city,brand,model,release_date,type_of_ban,color,distance,gearbox,gear,is_new,views,owners,market,seats,Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası,Yan pərdələr,Oturacaqların ventilyasiyası,engine_power,horsepower,fuel,condition_1,condition_2,day,month,year
1,76160.0,Bakı,Toyota,Land Cruiser,2013,Offroader / SUV,Qara,127000,Avtomat,Tam,0,1780,1,Rəsmi diler,7,1,1,1,1,1,1,1,1,1,1,1,1,1,4,282,Benzin,0,0,28,5,2023
1,15800.0,Bakı,Ford,Fusion,2016,Sedan,Qara,158700,Avtomat,Ön,0,14777,2,Amerika,5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,185,Benzin,0,0,26,5,2023
0,15500.0,Bakı,Fiat,500L,2013,Minivan,Sarı,175000,Avtomat,Ön,0,1007,2,Amerika,5,1,1,0,1,0,1,1,0,0,0,1,0,0,1,162,Benzin,0,0,28,5,2023
0,25200.0,Bakı,Ford,Transit,2008,Yük maşını,Gümüşü,148000,Mexaniki,Arxa,0,138,2,Avropa,3,0,0,1,1,1,0,1,1,0,0,0,0,0,2,140,Dizel,0,0,28,5,2023
0,67150.0,Bakı,Toyota,Land Cruiser,2008,Offroader / SUV,Qara,147000,Avtomat,Tam,0,19584,1,Rəsmi diler,7,1,1,1,1,1,1,1,1,1,1,1,1,1,4,243,Benzin,0,0,23,5,2023
0,97750.0,Bakı,Mercedes,GLE 400 Coupe,2015,Offroader / SUV,Göy,75500,Avtomat,Tam,0,30539,1,Rəsmi diler,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,333,Benzin,0,0,25,5,2023
0,6000.0,Bakı,Kia,Magentis,2005,Sedan,Qara,370000,Mexaniki,Ön,0,820,3,Koreya,5,1,1,0,0,1,0,1,0,0,1,0,0,0,2,145,Benzin,0,0,27,5,2023
0,25200.0,Bakı,Ford,Transit,2010,Furqon,Ağ,153764,Mexaniki,Arxa,0,874,2,Avropa,3,1,1,0,1,1,0,1,0,0,0,0,0,0,2,140,Dizel,0,0,26,5,2023
1,31842.0,Bakı,Toyota,Prado,2008,Offroader / SUV,Qara,178000,Avtomat,Tam,0,653,1,Rəsmi diler,7,1,1,0,1,1,1,1,1,0,1,1,1,0,2,167,Benzin,0,0,27,5,2023
0,30800.0,Bakı,Kia,Sorento,2013,Offroader / SUV,Gümüşü,167000,Avtomat,Ön,0,562,1,Koreya,7,1,1,0,1,1,1,1,1,1,0,1,0,1,2,184,Dizel,0,0,28,5,2023
